id,movie_show_id,seat_id,user_id,ticket_Status,price
c6a3daa3-39c9-4c8d-9df4-7930b08f7433,4550fdda-13dd-490e-8357-832193bc4e75,72775323-c776-4e00-9a56-732c61c937be,,Available,298.71
35ebad39-4b96-42a9-b7e5-d1238a6fddc9,4550fdda-13dd-490e-8357-832193bc4e75,1c8569d2-050a-4c26-a2e6-eccb195e6e1f,23cf6e3a-e4f7-4ed5-97d1-b7d2f751ac37,Purchased,277.83
a5f0d68e-92bd-4c67-b846-867369dd5d19,4550fdda-13dd-490e-8357-832193bc4e75,2614e89d-45ff-44ab-8d84-191e01513b89,,Available,272.58
fc0b1d81-df7e-4773-a1cf-fe4fb1c8602e,4550fdda-13dd-490e-8357-832193bc4e75,5ba479f1-6a16-4b20-9d41-ce915695da26,6466f1d9-8d7c-4cd6-a44d-29d1aa369e4f,Purchased,421.84
d11c0d46-711e-4ec9-b71d-45906612cc59,4550fdda-13dd-490e-8357-832193bc4e75,1e1e30a1-b161-4c38-8bfc-7c78326bed80,,Available,376.07
958ab4f8-bde6-4992-a2f5-a3031d3a7aff,4550fdda-13dd-490e-8357-832193bc4e75,c41a9daf-e9c9-44e5-959c-02c31b5a22e7,9e222f58-a2bc-463f-9ff6-4dd881206588,Purchased,286.82
6be03dd9-94ea-4e9f-9bfe-95d684613c5e,4550fdda-13dd-490e-8357-832193bc4e75,f3d7256a-0f81-43b2-94f8-e8421065be08,,Available,298.11
123a0f3b-edf1-4c7c-a562-57e24edcb8c3,4550fdda-13dd-490e-8357-832193bc4e75,747ce553-927b-46f7-a1f3-7a08cd2f8ada,,Available,277.52
26a3aeed-6c54-4247-8721-0ef545b9d10b,4550fdda-13dd-490e-8357-832193bc4e75,64f775f7-fafb-4e88-a13e-5aef7f497f10,ee54e488-07cd-4ae2-a924-a3cf21b9199b,Purchased,258.79
6732729c-6eaa-40b4-8816-862c105a85ea,4550fdda-13dd-490e-8357-832193bc4e75,064f27f1-374c-4f6b-aa8d-f268dc5c296a,98619352-2350-492a-ab62-12c650259081,Purchased,404.03
ec9ed9c0-71bc-426b-947d-8f7853a6f4ff,4550fdda-13dd-490e-8357-832193bc4e75,df537b6d-1574-4185-9ce5-a1f7322db51e,,Available,305.74
f424c347-bdc9-40c8-85ed-8c30797dfe33,4550fdda-13dd-490e-8357-832193bc4e75,3a6eaf46-9a2c-4bd1-bd10-d198c724934c,,Available,309.47
29d690c3-5889-4625-ba64-504c2e1ca451,4550fdda-13dd-490e-8357-832193bc4e75,218db7e9-ee18-430b-816a-5cef28d967a7,0ee57ad5-8281-4147-aafa-62aeae49a00f,Purchased,367.93
c05e36c3-f176-40b3-b71a-93c04156def6,4550fdda-13dd-490e-8357-832193bc4e75,1b7ffb12-a722-484e-8ff0-826be7aad3ac,,Available,437.33
f14e801a-aa9b-4c9a-8bed-01a533f6b299,4550fdda-13dd-490e-8357-832193bc4e75,270f9e72-486d-443d-b225-8645f57500ae,,Available,360.9
ebd8e205-8f0e-4c81-b651-8c91e950769e,4550fdda-13dd-490e-8357-832193bc4e75,5869de85-00ae-486e-a421-c7962e9e149f,,Available,369.58
8dfa5fa6-4298-4ea1-ac15-66e62a63425b,4550fdda-13dd-490e-8357-832193bc4e75,048db34f-a624-486a-90b6-515a61b135aa,,Available,274.88
ca56fa20-9944-46f4-99ee-f10ecc213d2e,4550fdda-13dd-490e-8357-832193bc4e75,35aff3e5-f04b-40c1-82d5-9cd6e619e1d4,,Available,387.72
9c25a8f2-8114-4655-8e66-67481a5a1d55,4550fdda-13dd-490e-8357-832193bc4e75,5885a84e-dac7-4bac-bc7e-c77a971b11c6,,Available,395.21
4941145c-4719-4a66-8a59-b3c0509a3934,4550fdda-13dd-490e-8357-832193bc4e75,0ceb6d00-6ebf-4955-a37a-9217d9ce9a02,,Available,321.91
2e66f4bd-0561-4b1d-82da-0cc7077ff1c7,4550fdda-13dd-490e-8357-832193bc4e75,0d29f3d0-a75e-4498-b977-443e0426fe8d,5ece79c5-dd0a-4a89-8623-5a206546fe23,Purchased,305.81
3acada2d-b770-449d-b3ae-99b1a403ae4e,4550fdda-13dd-490e-8357-832193bc4e75,bc957e53-cd98-4fd5-beb2-5ecf14277c01,,Available,382.79
096087fb-2f6e-4b93-a394-0f9820587166,4550fdda-13dd-490e-8357-832193bc4e75,8202a3a7-f4ea-4e0f-b974-2d8cf3605963,e753fb8b-648b-4237-a990-274cea3ca5c0,Purchased,288.76
b59a3e5a-64ed-4282-a6d8-971e97c98d53,4550fdda-13dd-490e-8357-832193bc4e75,28ee7af2-9e4b-490b-bd86-56b80c3b4c64,,Available,275.67
4ec9ad48-4e1a-4237-b5ce-2149386ef0d3,4550fdda-13dd-490e-8357-832193bc4e75,6ed1ff01-dd04-4012-ace7-8592c1a8f98e,,Available,338.22
9c3e84e2-918d-4dd4-8ca4-a1878806969d,4550fdda-13dd-490e-8357-832193bc4e75,bf0a4003-d8a2-4bec-8dca-4f60f1bbb677,217928e8-c61a-4c25-8b17-91cdaf5fe64d,Purchased,358.32
5b986696-43a6-4a9c-b2ac-983b565da28f,4550fdda-13dd-490e-8357-832193bc4e75,8c4808a4-d512-4cf8-baf7-7e43d6e7b5d5,,Available,280.21
4ab2a2bb-5631-4dba-96b7-5d8aa1f07e06,4550fdda-13dd-490e-8357-832193bc4e75,e7a8b7b8-155d-43e5-892e-df2a14f16dec,,Available,368.41
7089e720-256d-4201-8730-72fc28fe2a15,4550fdda-13dd-490e-8357-832193bc4e75,b820b539-3555-4811-b9f0-82f88ad41587,,Available,280.84
7dc7927e-1db7-42a9-ada1-d1002b21e76a,4550fdda-13dd-490e-8357-832193bc4e75,efb0cd31-0be2-426d-8ef1-7e2c6014d38e,,Available,424.17
fb0869ff-9ef7-4f20-9494-87d6f38f4475,4550fdda-13dd-490e-8357-832193bc4e75,af028b69-bae3-44c1-8092-b1e79e566870,,Available,414.01
9accc3c0-aa7a-464e-949a-2bc6f453ebfc,4550fdda-13dd-490e-8357-832193bc4e75,e86a7109-ad93-4688-a8ce-2a0d98f24d34,,Available,371.28
c0da949c-98f4-4f42-a3ab-22aee207b5ef,4550fdda-13dd-490e-8357-832193bc4e75,bdc0df55-e40c-4590-8068-1c9d2d4634d8,,Available,273.87
8f9b2c95-846e-4875-8bb6-63ddf9ff87c6,4550fdda-13dd-490e-8357-832193bc4e75,ad7354c4-3c66-41b5-8538-b5250669604a,,Available,272.2
dd8ac235-228a-4b5e-a8a4-c0424cb5f008,4550fdda-13dd-490e-8357-832193bc4e75,e7d643ef-068c-474a-9559-3c8630ec354c,,Available,344.39
b5048ae7-6a55-429d-b039-cad89b75cbd0,4550fdda-13dd-490e-8357-832193bc4e75,cdc110c6-24b2-4362-91f1-26f01e32ba9a,,Available,241.29
143b4222-3326-48c4-bcfc-d6a0e9a65f2f,4550fdda-13dd-490e-8357-832193bc4e75,96fd4327-77bf-49f9-af44-53ba889c557f,,Available,305.74
8853b4b6-e096-45f9-b4f4-95f239275660,4550fdda-13dd-490e-8357-832193bc4e75,8894d60d-948c-4b30-89b3-5945b7ce813a,,Available,318.36
c0a54087-ff2a-4f61-ac18-11e8b5afcc89,4550fdda-13dd-490e-8357-832193bc4e75,516f7556-3795-4271-a223-a957029116ef,27770ab9-ab48-4342-bd79-d012b883774c,Purchased,378.06
f422a565-65dd-4c05-8960-81832c58c78d,4550fdda-13dd-490e-8357-832193bc4e75,f1ed14f2-7096-43fa-add1-0d72d14464e6,,Available,347.64
14194bbe-7efd-4554-8e42-97cd41a9f0bc,4550fdda-13dd-490e-8357-832193bc4e75,c4a1f23f-01f7-4565-8ce1-6e5375b5d013,,Available,288.57
bbc87d04-daa7-4c2e-bb3f-e7366b591107,4550fdda-13dd-490e-8357-832193bc4e75,c01b45cb-b16d-4927-a651-a7d7c2094594,,Available,326.3
9914be7c-fbe0-4dbf-8ba2-52f90b443e17,4550fdda-13dd-490e-8357-832193bc4e75,2aff23b3-9c15-4b1f-b711-ec3ae5bfde05,,Available,304.3
2a3c5fbc-a44f-4cfd-92d3-ae072bd1ff76,4550fdda-13dd-490e-8357-832193bc4e75,3de73c9d-73a0-4f4c-bda4-6d616047bac6,1bf3c9a5-2a8b-4259-be59-6fd5a96a9a1d,Reserved,381.31
f974784c-69de-4a60-9765-b3dc4faf7727,4550fdda-13dd-490e-8357-832193bc4e75,561487d2-e070-436f-95e7-e8dedcf0a511,ad3afa03-f63c-4394-a8fc-9e4f827b992f,Purchased,374.15
b753a28d-cb98-4639-91b7-b0b1c5354893,4550fdda-13dd-490e-8357-832193bc4e75,ed06c324-25f5-44ae-bb3a-0db219b3393a,,Available,371.28
9d6b90ed-f138-48ed-ab08-c61df371dafa,4550fdda-13dd-490e-8357-832193bc4e75,92756f4d-0f4b-466b-82b4-b731d1ac5de4,,Available,442.1
c3a452e9-b9d4-49b7-8d2a-6752242c4a44,4550fdda-13dd-490e-8357-832193bc4e75,288e219f-6ec1-4df9-b244-10953eb457ee,2772f26d-253d-4e00-a9aa-38ecda56f54b,Reserved,418.19
d836704d-b496-4c0a-b317-80ae5de54d7d,4550fdda-13dd-490e-8357-832193bc4e75,e4085dbb-7ee1-462b-bac8-e804b32dec7e,,Available,396.15
749de293-e871-44c5-bccc-77b16c17a66d,4550fdda-13dd-490e-8357-832193bc4e75,4b2f5c35-3c38-4b08-b12d-1059d00b0886,,Available,418.57
c7616e40-8a62-43d3-966b-9f54de570566,4550fdda-13dd-490e-8357-832193bc4e75,16336216-29bb-43da-a0cc-f859608156b5,af535251-72c9-4480-a343-7cadc69be656,Reserved,393.56
843352d9-6733-403b-a7db-c7b68e75dff3,4550fdda-13dd-490e-8357-832193bc4e75,34dda893-21af-4834-96e3-ac291ee32529,0787362d-3798-4e3c-893d-6407b6d84890,Reserved,353.84
82549b21-a853-432b-ae69-e2e120de2c86,4550fdda-13dd-490e-8357-832193bc4e75,65473066-fe9c-4246-b0a3-db914dacb502,288ac633-47de-4e1b-843b-fc5fee6565d2,Purchased,338.05
6a7d7c4a-25d1-43db-ae77-90b60c4580c8,4550fdda-13dd-490e-8357-832193bc4e75,c92f74d4-04ee-406c-a6ee-029c00961bfd,,Available,388.98
7cbeef62-8df7-4a39-b9ac-5df8ee5940e3,4550fdda-13dd-490e-8357-832193bc4e75,0b722584-cd30-458f-87a4-18a939088d7d,,Available,302.2
82dba25d-5fd8-40e8-9a3b-bc4d0813082a,4550fdda-13dd-490e-8357-832193bc4e75,ef6a3fa1-0512-4a4d-9998-36fa280ac5b8,,Available,416.68
5750fa35-0bd2-43c4-9ff7-e10468965642,4550fdda-13dd-490e-8357-832193bc4e75,7eb270c0-040c-4c25-8187-58e68cdf0e7b,,Available,400.42
0ca4763a-71c0-4dae-a1fe-c5480e86f82d,4550fdda-13dd-490e-8357-832193bc4e75,cd078f5d-a730-40d0-85ea-663a75913b3e,,Available,324.1
ffa64c3e-e85c-4db4-b1f4-e5a67b52b7f3,4550fdda-13dd-490e-8357-832193bc4e75,787a5690-07c5-41df-aba8-8b461440bc1d,283ec9ba-4547-4d4d-8768-f22cb498a13b,Purchased,330.16
1a66a040-512c-4953-8829-2f45dc36234f,4550fdda-13dd-490e-8357-832193bc4e75,7877814b-0542-43f0-8cef-8e999511abad,,Available,424.3
