id,title,duration,description,age_limit,box_office_revenue,release_date
427354fb-8736-4fd4-9ea1-30b98d1974e7,Movie Title 1,01:06:00,Sample English description 1.,16,994277673.41,1934-07-04
138aca2e-a48d-46a6-ac06-c902efe4fd18,Movie Title 2,02:17:00,Sample English description 2.,12,548998501.73,1932-08-16
99f6f5c3-1cb9-4fe1-ab1a-aa9c1d16dbd0,Movie Title 3,02:01:00,Sample English description 3.,16,647614724.35,2013-09-14
6358f21d-d22d-4f6c-b15e-7a1b7ba90800,Movie Title 4,03:54:00,Sample English description 4.,6,927953442.29,1963-09-27
f4fa3e26-130b-42f5-8e08-2d4f884e080d,Movie Title 5,02:55:00,Sample English description 5.,12,925912723.22,1988-03-14
fd530ba8-7ae3-47c6-b384-a6b01df494cb,Movie Title 6,02:16:00,Sample English description 6.,18,669865108.15,1920-04-07
708f4f48-f883-4f49-97ee-2c0a91c249de,Movie Title 7,01:42:00,Sample English description 7.,16,235097474.9,1962-01-05
e994bf32-d050-4e52-b334-5b6074b2a959,Movie Title 8,02:04:00,Sample English description 8.,0,906357952.8,1971-04-27
425035ef-0093-422c-a760-2740c95f4457,Movie Title 9,03:56:00,Sample English description 9.,6,227567567.9,1957-08-21
9bc42e46-67c9-447f-be78-4ae50e491d93,Movie Title 10,02:01:00,Sample English description 10.,6,182970750.8,1987-11-03
47632200-a702-4992-9f11-020d87c3aaed,Movie Title 11,01:10:00,Sample English description 11.,0,847700266.4,1983-04-28
7338dd63-a1d1-4e74-9759-cd17bae3c0d8,Movie Title 12,02:54:00,Sample English description 12.,0,767937497.39,2013-01-20
c3820118-4994-4049-8719-6d71466870fe,Movie Title 13,01:16:00,Sample English description 13.,6,808018069.04,1931-05-29
37887751-4d47-4e5c-98fd-9fa0dc90314c,Movie Title 14,01:01:00,Sample English description 14.,18,601729390.63,2024-02-10
4072477a-0e21-47ca-9a86-73f662b98398,Movie Title 15,03:49:00,Sample English description 15.,6,364931304.47,2002-05-12
69a62e24-d225-4d89-94b5-ae7f906b57dc,Movie Title 16,01:52:00,Sample English description 16.,18,768368193.29,1961-07-23
aa451009-5df5-4e3e-bce7-7ad1ac26b289,Movie Title 17,02:13:00,Sample English description 17.,12,614381877.25,1969-10-14
3c16d474-f898-4cfe-b924-7c38bea20d5c,Movie Title 18,02:02:00,Sample English description 18.,18,473226410.13,1942-07-23
5597d267-e508-4a43-8244-f8ec9fdecae4,Movie Title 19,02:58:00,Sample English description 19.,18,73760400.31,2023-01-25
ecdbf5f6-ea6e-48ad-8cf1-165f8682b135,Movie Title 20,03:06:00,Sample English description 20.,18,628379945.8,2026-06-08
0db8d5e2-1888-4d9f-a451-2f6e2a3e0f7d,Movie Title 21,01:11:00,Sample English description 21.,16,439477475.31,1948-05-31
d3206088-b25a-455a-9323-1c8d5829b0b0,Movie Title 22,02:06:00,Sample English description 22.,16,317396393.78,1932-02-19
009bae3f-9085-415e-81bf-b86503fa9115,Movie Title 23,02:28:00,Sample English description 23.,6,278926633.72,2012-02-07
47ae8c16-2d72-4c6b-8a12-3dac47db6ed7,Movie Title 24,03:36:00,Sample English description 24.,18,71781683.01,1968-02-17
5fb1457b-691f-48fd-aeca-0103d0a88833,Movie Title 25,02:26:00,Sample English description 25.,0,832193262.9,2009-03-30
2fd567ca-8efe-4948-bebd-a1a56f976d42,Movie Title 26,01:34:00,Sample English description 26.,0,369132297.52,1921-04-06
